Remaining Edges,Average Shortest Path
4633,1306.4033137165852
4632,1306.5448862496796
4631,1306.6848610571158
4630,1306.9930222983912
4629,1306.9930222983912
4628,1307.0764958718107
4627,1307.0764958718107
4626,1307.0764958718107
4625,1307.4499332373362
4624,1307.4499332373362
4623,1307.645439353824
4622,1307.645439353824
4621,1307.645439353824
4620,1307.645439353824
4619,1307.6561259429577
4618,1307.6561259429577
4617,1307.9321575492947
4616,1308.009954023972
4615,1308.0711520469795
4614,1308.119791000791
4613,1308.38728744326
4612,1308.38728744326
4611,1308.38728744326
4610,1308.38728744326
4609,1308.5530218346064
4608,1308.5630166605408
4607,1308.5630166605408
4606,1309.1195992949604
4605,1309.1195992949604
4604,1309.1370877721497
4603,1309.148924708495
4602,1309.148924708495
4601,1309.7918210001985
4600,1309.7918210001985
4599,1309.9515264829645
4598,1309.9515264829645
4597,1310.0295316785462
4596,1310.0295316785462
4595,1310.448299848638
4594,1310.448299848638
4593,1310.448299848638
4592,1310.5059986033432
4591,1310.513799736264
4590,1310.513799736264
4589,1310.7467472363535
4588,1310.7467472363535
4587,1310.7467472363535
4586,1310.7467472363535
4585,1310.9870780317583
4584,1310.9870780317583
4583,1311.0038875357418
4582,1311.14642429584
4581,1311.14642429584
4580,1311.14642429584
4579,1311.14642429584
4578,1311.1601422347007
4577,1311.2420287083535
4576,1311.2792146270003
4575,1311.2792146270003
4574,1311.2792146270003
4573,1311.3031822076944
4572,1311.3031822076944
4571,1311.3149407730632
4570,1311.3149407730632
4569,1311.423795226101
4568,1311.5372976715057
4567,1311.5372976715057
4566,1311.5372976715057
4565,1311.70961539471
4564,1311.70961539471
4563,1311.70961539471
4562,1311.724778753227
4561,1311.724778753227
4560,1312.3465701887887
4559,1312.539607742789
4558,1312.539607742789
4557,1312.5410769684274
4556,1312.5410769684274
4555,1312.5432603327858
4554,1312.5622273577808
4553,1312.612804140088
4552,1312.6212536150233
4551,1312.6809611797348
4550,1312.6809611797348
4549,1312.6980522795811
4548,1312.699805766108
4547,1313.056431966761
4546,1313.0687159960921
4545,1313.291870125264
4544,1313.2980881390956
4543,1313.344471824198
4542,1313.7486790217172
4541,1313.8464508410677
4540,1313.8957651498151
4539,1313.8957651498151
4538,1313.950310742096
4537,1315.7152334931598
4536,1315.7152334931598
4535,1315.7160063272408
4534,1315.8017295338227
4533,1315.8095794073772
4532,1315.8095794073772
4531,1315.8095794073772
4530,1315.8095794073772
4529,1315.8185164629267
4528,1315.818858249371
4527,1317.3789508861641
4526,1318.034793374225
4525,1318.034793374225
4524,1318.1060368265144
4523,1318.2157619028017
4522,1319.0686165487803
4521,1319.0686165487803
4520,1319.5050977268786
4519,1319.5050977268786
4518,1319.8703711618655
4517,1320.0019396758746
4516,1320.0019396758746
4515,1320.1369537132205
4514,1320.2066428546188
4513,1320.262059403436
4512,1320.3465874802498
4511,1320.3465874802498
4510,1320.3612370339797
4509,1320.4028269999767
4508,1320.630926752135
4507,1320.630926752135
4506,1320.7859790793814
4505,1320.8127346094593
4504,1321.009632186978
4503,1321.009632186978
4502,1321.0156657599184
4501,1321.1020535799323
4500,1321.1229367994215
4499,1322.2749723974314
4498,1322.2749723974314
4497,1322.4866975113312
4496,1322.5939133786003
4495,1322.6435954534518
4494,1322.6435954534518
4493,1323.882717871641
4492,1323.9686937587508
4491,1323.9686937587508
4490,1324.0575817009203
4489,1324.4671742954754
4488,1324.500764263512
4487,1324.5398589815218
4486,1324.5508484315367
4485,1324.698813224904
4484,1325.6432287872472
4483,1325.6489701852695
4482,1325.6489701852695
4481,1325.6489701852695
4480,1325.6489701852695
4479,1325.6810894537657
4478,1325.6846983091805
4477,1325.689672786827
4476,1325.7129243951167
4475,1325.8113264323051
4474,1325.8113264323051
4473,1325.8113264323051
4472,1325.8113264323051
4471,1326.0895821372053
4470,1326.0895821372053
4469,1326.1005915967987
4468,1326.115516050924
4467,1326.5280005165146
4466,1326.5280005165146
4465,1326.5280005165146
4464,1326.5280005165146
4463,1326.5280005165146
4462,1326.5280005165146
4461,1326.5907566281494
4460,1326.5907566281494
4459,1326.5907566281494
4458,1326.5907566281494
4457,1326.5918596662202
4456,1326.8645703795175
4455,1328.61915372044
4454,1328.61915372044
4453,1328.61915372044
4452,1328.61915372044
4451,1328.61915372044
4450,1328.7271612658815
4449,1328.7370646265306
4448,1328.7370646265306
4447,1330.1166344770918
4446,1330.1166344770918
4445,1330.2062430113751
4444,1330.2801599979864
4443,1330.3331853458574
4442,1330.3331853458574
4441,1330.9032357745764
4440,1331.0043574220322
4439,1331.2638552333672
4438,1331.2642092264705
4437,1331.9619024449707
4436,1331.9619024449707
4435,1331.9624654771048
4434,1332.0556991339429
4433,1332.1672234465793
4432,1332.1682213409306
4431,1333.1843394089626
4430,1333.2254821296897
4429,1333.226072285361
4428,1333.226072285361
4427,1333.2459333497504
4426,1333.2459333497504
4425,1333.3499163789104
4424,1333.35114354047
4423,1333.3777007348394
4422,1333.706030226822
4421,1334.2527966067848
4420,1334.758847009866
4419,1335.1903361676318
4418,1335.1903361676318
4417,1335.206259953531
4416,1335.206544631775
4415,1335.436303997201
4414,1335.703269980026
4413,1335.703269980026
4412,1335.7518533490256
4411,1336.4355785590735
4410,1337.120937551464
4409,1337.120937551464
4408,1337.2259121068505
4407,1337.4513386881508
4406,1337.4513386881508
4405,1337.5270549795496
4404,1337.581446864747
4403,1337.9544663625304
4402,1338.123422571465
4401,1338.1446196132547
4400,1338.210760851696
4399,1338.210760851696
4398,1338.2940388230297
4397,1338.2940388230297
4396,1338.3019745106592
4395,1338.3019745106592
4394,1338.3028019477406
4393,1338.4262726933596
4392,1338.5935758289759
4391,1338.637166257263
4390,1338.637166257263
4389,1338.6943853169153
4388,1338.6943853169153
4387,1338.8901921477088
4386,1338.9459024923997
4385,1338.9459024923997
4384,1339.1281160682584
4383,1339.1499440533842
4382,1339.6031839844793
4381,1339.6175240520838
4380,1339.6175240520838
4379,1339.6175240520838
4378,1340.0873003712613
4377,1340.0873003712613
4376,1340.1094842915097
4375,1340.1094842915097
4374,1340.1432410987036
4373,1340.1633923169325
4372,1340.1652811632323
4371,1340.1735771437277
4370,1340.1921424436607
4369,1340.2341956259652
4368,1340.2709490448258
4367,1340.2717705529587
4366,1340.696410524234
4365,1340.696410524234
4364,1340.7980182715078
4363,1340.8197800106127
4362,1340.8197800106127
4361,1340.8249845421633
4360,1341.071014781255
4359,1341.2713551596144
4358,1341.4917594771248
4357,1341.4917594771248
4356,1341.492944216582
4355,1341.495247816529
4354,1342.610351710371
4353,1342.7887944905528
4352,1342.9707566361915
4351,1342.9707566361915
4350,1343.1338166193575
4349,1343.5044094755656
4348,1343.5044094755656
4347,1343.5091410816567
4346,1343.8940192213588
4345,1343.8940192213588
4344,1344.0899275358288
4343,1344.0899275358288
4342,1344.0899275358288
4341,1344.0899275358288
4340,1344.096684770934
4339,1344.096684770934
4338,1344.193833625555
4337,1344.1969366136896
4336,1344.224718040915
4335,1344.2960403953857
4334,1344.3456881949649
4333,1344.3476351570328
4332,1344.4766134632416
4331,1344.5063481017391
4330,1344.5063481017391
4329,1344.5063481017391
4328,1344.5723105467619
4327,1344.7571442916362
4326,1344.8017589909623
4325,1344.8563252052381
4324,1344.8652726854284
4323,1344.884075693805
4322,1345.0700747880574
4321,1345.0700747880574
4320,1345.1461829531568
4319,1345.3238532734372
4318,1345.3238532734372
4317,1345.6387032400244
4316,1345.7462286968885
4315,1345.7861226595112
4314,1345.8797714956672
4313,1345.8797714956672
4312,1345.8797714956672
4311,1345.8797714956672
4310,1345.9825325447516
4309,1345.9825325447516
4308,1346.011400903955
4307,1347.869004101078
4306,1348.4187761767535
4305,1348.4187761767535
4304,1348.4187761767535
4303,1348.9945654348946
4302,1349.2384129698341
4301,1349.3119778311732
4300,1349.3119778311732
4299,1349.8066079610726
4298,1349.8066079610726
4297,1350.0228962856693
4296,1350.0766690589883
4295,1350.0912075901251
4294,1350.2231479286702
4293,1350.2563722637408
4292,1350.2563722637408
4291,1350.2945929558296
4290,1350.4450621309854
4289,1350.4450621309854
4288,1350.7232780192167
4287,1350.9161015403063
4286,1350.916128700122
4285,1350.9170272766592
4284,1350.9170272766592
4283,1350.9170272766592
4282,1351.338164598054
4281,1351.609423249194
4280,1351.609423249194
4279,1351.609423249194
4278,1351.9304515229258
4277,1353.018252749791
4276,1353.1394982033025
4275,1353.1394982033025
4274,1353.9325834967904
4273,1353.9651107570005
4272,1353.9741402393229
4271,1354.0430442874806
4270,1354.0430442874806
4269,1354.0430442874806
4268,1354.046092900499
4267,1354.046092900499
4266,1354.083944954098
4265,1354.083944954098
