Remaining Edges,Average Shortest Path
4633,1289.6033978151297
4632,1289.6076233244307
4631,1289.6076233244307
4630,1289.6076233244307
4629,1289.7177462396658
4628,1289.7177462396658
4627,1289.7177462396658
4626,1289.7177462396658
4625,1289.724129902185
4624,1289.8205851180226
4623,1289.8593857998412
4622,1289.8743151822578
4621,1289.8794006203166
4620,1289.9645669284919
4619,1290.3580306131842
4618,1290.3580306131842
4617,1290.4038395960763
4616,1290.4038395960763
4615,1290.4038395960763
4614,1290.4038395960763
4613,1290.4526023414398
4612,1290.4526023414398
4611,1290.4526023414398
4610,1290.7877946174556
4609,1290.8006945668717
4608,1290.8006945668717
4607,1290.8006945668717
4606,1290.8006945668717
4605,1290.8126443114625
4604,1290.8432929305648
4603,1291.2472371966533
4602,1291.2525312245457
4601,1291.4878929576948
4600,1291.4878929576948
4599,1291.538278093577
4598,1291.5687718622873
4597,1291.5687718622873
4596,1291.6469968677754
4595,1291.6537546753093
4594,1291.6537546753093
4593,1291.6763330350566
4592,1291.9935722353948
4591,1292.1200687880082
4590,1292.1836478466907
4589,1292.1836478466907
4588,1292.3305703793042
4587,1292.3305703793042
4586,1292.3781156866803
4585,1293.018252405984
4584,1293.1624990904374
4583,1293.2384279955475
4582,1293.2515459062456
4581,1293.2515459062456
4580,1293.536590518869
4579,1294.0751476248695
4578,1294.0751476248695
4577,1294.4505005204921
4576,1294.4505005204921
4575,1294.4505005204921
4574,1294.5907606443702
4573,1294.6992193324045
4572,1294.761715357693
4571,1294.7715609571912
4570,1294.7715609571912
4569,1294.7715609571912
4568,1294.7715609571912
4567,1294.7991008157342
4566,1294.908650390286
4565,1295.1696001227042
4564,1295.171543727941
4563,1295.276478508878
4562,1295.276478508878
4561,1295.2966959714636
4560,1295.2966959714636
4559,1295.2966959714636
4558,1295.2966959714636
4557,1295.4939511254422
4556,1295.4984625303125
4555,1295.5554272194831
4554,1295.5706651742562
4553,1295.8437940252695
4552,1295.949223343723
4551,1295.949223343723
4550,1295.949223343723
4549,1296.076887257428
4548,1296.1850106158256
4547,1296.2372339941157
4546,1297.5362882688748
4545,1297.592133914931
4544,1297.8379021219039
4543,1297.8379021219039
4542,1298.3043815835852
4541,1298.7043756254905
4540,1298.7318097712932
4539,1298.835401562997
4538,1298.8393390446918
4537,1299.6494786824303
4536,1299.663801651338
4535,1299.6906883335162
4534,1299.793350237559
4533,1299.8641210789579
4532,1300.6785774631082
4531,1300.6785774631082
4530,1300.8894528046064
4529,1300.8894528046064
4528,1300.9109959996294
4527,1300.9270792097284
4526,1300.9270792097284
4525,1300.9270792097284
4524,1300.986924316231
4523,1301.3891200547118
4522,1301.5632860073551
4521,1301.5632860073551
4520,1301.5632860073551
4519,1301.7984334471562
4518,1301.7984334471562
4517,1301.9362182372777
4516,1302.1654855635534
4515,1302.1654855635534
4514,1302.4622652138598
4513,1302.4622652138598
4512,1303.141224604133
4511,1303.832002480733
4510,1304.085868979887
4509,1304.1386124512908
4508,1304.2089399904212
4507,1304.2676368117282
4506,1304.2684095695174
4505,1304.2684095695174
4504,1304.4561473499305
4503,1304.4561473499305
4502,1304.4561473499305
4501,1304.4700827879349
4500,1304.4700827879349
4499,1304.501718892255
4498,1304.5703737261626
4497,1304.918733933125
4496,1304.9226958657878
4495,1304.9665908675772
4494,1304.9665908675772
4493,1304.9940927578166
4492,1304.9940927578166
4491,1304.9940927578166
4490,1304.9967576240012
4489,1304.9967576240012
4488,1305.126035178426
4487,1305.6221961162864
4486,1306.3602305049571
4485,1306.4126217865573
4484,1306.4126217865573
4483,1306.4733966291617
4482,1306.6076590885448
4481,1306.6076590885448
4480,1306.6076590885448
4479,1306.6076590885448
4478,1306.6522904808876
4477,1306.6522904808876
4476,1306.669589229623
4475,1306.7424654737617
4474,1306.7424654737617
4473,1306.7424654737617
4472,1306.773887215274
4471,1306.773887215274
4470,1306.773887215274
4469,1306.773887215274
4468,1306.773887215274
4467,1306.8543880247403
4466,1306.884432711177
4465,1306.884432711177
4464,1306.884432711177
4463,1307.1939959583028
