Remaining Edges,Average Shortest Path
4633,1314.6383296377892
4632,1314.6385253802807
4631,1314.6385253802807
4630,1316.4193154163186
4629,1316.567960968344
4628,1316.567960968344
4627,1316.567960968344
4626,1316.567960968344
4625,1316.567960968344
4624,1316.567960968344
4623,1316.567960968344
4622,1316.57593938713
4621,1316.8478030572446
4620,1316.886817529325
4619,1316.8885896217591
4618,1316.8885896217591
4617,1316.8885896217591
4616,1316.8885896217591
4615,1316.9849807574806
4614,1316.9849807574806
4613,1317.0445836599947
4612,1317.1704095367475
4611,1317.1849685712007
4610,1317.2898584034922
4609,1317.4727420449397
4608,1317.5114763088839
4607,1317.60010830259
4606,1317.6814112573418
4605,1317.6828109542096
4604,1317.6828109542096
4603,1318.054196327908
4602,1318.054196327908
4601,1318.0543740180196
4600,1318.0543740180196
4599,1318.389368303403
4598,1318.5151712562083
4597,1318.5239711269815
4596,1318.5239711269815
4595,1318.5239711269815
4594,1318.5765616480871
4593,1319.0379487784226
4592,1319.095102297131
4591,1319.2852601890309
4590,1319.2857533380436
4589,1319.287553017137
4588,1319.330448966057
4587,1319.3314125291806
4586,1319.3314125291806
4585,1319.376683626942
4584,1319.376683626942
4583,1319.5766335061162
4582,1319.5766335061162
4581,1320.9135605757378
4580,1320.932237998796
4579,1321.0256186057486
4578,1321.0256186057486
4577,1321.0527085587057
4576,1321.0527085587057
4575,1321.0740234774223
4574,1321.0740234774223
4573,1321.0740234774223
4572,1321.1151866702774
4571,1321.2390904177198
4570,1321.295754635127
4569,1321.418679069522
4568,1321.4401557049491
4567,1321.4623016962546
4566,1321.7553757320081
4565,1321.7553757320081
4564,1321.7553757320081
4563,1321.7553757320081
4562,1321.7553757320081
4561,1321.7553757320081
4560,1321.7553757320081
4559,1321.8189853036083
4558,1321.9526585672043
4557,1321.971738722713
4556,1322.0390181798834
4555,1322.5396982829502
4554,1322.5961018399505
4553,1322.5961018399505
4552,1322.5977421097175
4551,1322.5977421097175
4550,1322.5977421097175
4549,1322.6737860713731
4548,1322.76855994058
4547,1322.76855994058
4546,1323.0243484897649
4545,1323.05401758439
4544,1323.055327838419
4543,1323.0620565935817
4542,1323.2699869408593
4541,1323.2736095812522
4540,1323.2736095812522
4539,1323.2736095812522
4538,1323.2831251145572
4537,1323.870394092793
4536,1323.870394092793
4535,1323.870394092793
4534,1323.870394092793
4533,1323.870394092793
4532,1324.1174051748046
4531,1324.1174051748046
4530,1324.800480686186
4529,1324.826193635573
4528,1324.8384892320898
4527,1324.8384892320898
4526,1325.1421080592183
4525,1325.1421080592183
4524,1325.1421080592183
4523,1326.152936388072
4522,1326.354389578154
4521,1326.5872006177983
4520,1326.5872006177983
4519,1326.9428864525178
4518,1327.0442614453898
4517,1327.3672903290674
4516,1327.7580637395313
4515,1328.1346640276636
4514,1328.4161153387272
4513,1328.4713108523702
4512,1328.4713108523702
4511,1328.4713108523702
4510,1328.6092006123108
4509,1328.6179031551014
4508,1328.6179031551014
4507,1328.8695230153146
4506,1329.2316146691774
4505,1329.5408170887001
4504,1329.5408170887001
4503,1329.5571653197974
4502,1329.5571653197974
4501,1329.6003302882966
4500,1329.6529371400964
4499,1329.6529371400964
4498,1329.6904521808501
4497,1329.6904521808501
4496,1329.6904521808501
4495,1329.729869642883
4494,1330.1246950852815
4493,1330.125569844963
4492,1330.125569844963
4491,1330.1477593240309
4490,1330.1477593240309
4489,1330.1477593240309
4488,1330.1509924683064
4487,1330.2964350269558
4486,1330.2965366473898
4485,1330.2965366473898
4484,1330.2965366473898
4483,1330.4174013832708
4482,1330.4431710283218
4481,1330.4431710283218
4480,1330.4431710283218
4479,1330.4431710283218
4478,1330.8497572990957
4477,1330.8497572990957
4476,1330.906289170537
4475,1331.1301721708342
4474,1331.1301721708342
4473,1331.534588304838
4472,1331.580247767259
4471,1331.6312260768377
4470,1331.7446062010736
4469,1331.7446062010736
4468,1331.7446062010736
4467,1331.8992342468446
4466,1332.2130105103377
4465,1332.316785083702
4464,1332.926689645043
4463,1333.287334459489
4462,1333.2881468575051
4461,1333.3072596356149
4460,1333.4954407751877
4459,1333.4954407751877
4458,1333.4954407751877
4457,1333.8163952786995
4456,1333.8188993221552
4455,1333.9724479040467
4454,1333.9724479040467
4453,1333.9724479040467
4452,1334.6182501122964
4451,1334.6182501122964
4450,1334.6198888562315
4449,1334.6202349150062
4448,1334.8162990489245
4447,1334.8244511121402
4446,1334.9245436994543
4445,1335.1603006220319
4444,1335.3615292045902
4443,1335.3931926524642
4442,1335.3935069739268
4441,1335.3935069739268
4440,1335.4066044584963
4439,1335.4066044584963
4438,1335.4066044584963
4437,1335.5151525359136
4436,1335.5151525359136
4435,1336.1166679109613
4434,1336.5877052616136
4433,1336.652581612489
4432,1336.7823945953248
4431,1336.820942205186
4430,1336.8831994612021
4429,1336.8831994612021
4428,1336.8831994612021
4427,1336.9393435600361
4426,1337.7867122913385
4425,1338.1242248405765
4424,1338.1242248405765
4423,1338.3630481990417
4422,1338.3630481990417
4421,1338.6264644548812
4420,1338.6537776416587
4419,1339.3848033758943
4418,1339.3848033758943
4417,1339.3857644849709
4416,1339.4175133901772
4415,1339.5659881702459
4414,1339.7695363240655
4413,1340.1002068081023
4412,1340.37511169857
4411,1340.37511169857
4410,1340.7463552594636
4409,1341.1219591579297
4408,1341.1219591579297
4407,1341.289343894232
4406,1341.2922616235319
4405,1341.4969946761853
4404,1341.4969946761853
4403,1341.5095427439435
4402,1341.5095427439435
4401,1341.5785668001104
4400,1341.621006195503
4399,1341.6811968292257
4398,1341.696619466872
4397,1342.28393200313
4396,1342.290843618705
4395,1342.290843618705
4394,1342.290843618705
4393,1342.290843618705
4392,1342.3399271808644
4391,1342.3399271808644
4390,1342.3399271808644
4389,1342.3504425748663
4388,1342.3504425748663
4387,1342.3504425748663
4386,1342.3792082822815
4385,1342.6630005233867
4384,1342.730863882578
4383,1345.1331381249884
4382,1345.1331381249884
4381,1346.2076828403033
4380,1346.2094956699711
4379,1346.2094956699711
4378,1346.4007329426752
4377,1346.4308903169617
4376,1346.4308903169617
4375,1346.525383102198
4374,1346.525383102198
4373,1346.5314481505113
4372,1346.633821939168
4371,1347.767071020447
4370,1347.9674080301832
4369,1347.9674080301832
4368,1347.9674080301832
4367,1347.9724511187637
4366,1347.9750295132087
4365,1347.980451668393
4364,1347.980451668393
4363,1347.980451668393
4362,1347.980451668393
4361,1347.980451668393
4360,1347.980451668393
4359,1348.194909717071
4358,1348.2238173262558
4357,1348.2238173262558
4356,1348.2449321413324
4355,1348.6485912898515
4354,1348.917229966698
4353,1348.96603444448
4352,1349.3276155363426
4351,1349.3276155363426
4350,1349.3374692552584
4349,1349.3888004638954
4348,1349.4213198874882
4347,1349.4434997165727
4346,1349.550011778358
4345,1349.7240403245266
4344,1349.9229786856156
4343,1349.9229786856156
4342,1349.9229786856156
4341,1350.0492330409083
4340,1350.0492330409083
4339,1350.0779961035623
4338,1350.1443220937347
4337,1350.301618510417
4336,1350.301618510417
4335,1350.304025449176
4334,1350.557118013558
4333,1350.5912378696767
4332,1350.6390894874078
4331,1350.6403204526491
4330,1351.9328311925046
4329,1351.9328311925046
4328,1353.6619972584417
