Remaining Edges,Average Shortest Path
4741,993.4675523214639
4740,993.4675523214639
4739,993.4777703762469
4738,993.6109861617362
4737,993.6109861617362
4736,993.6583052651918
4735,993.7213461577691
4734,993.7213461577691
4733,993.89692973265
4732,993.89692973265
4731,993.89692973265
4730,993.8985757058443
4729,994.3436775609696
4728,994.3436775609696
4727,994.4448506240986
4726,994.4928374210514
4725,995.030193759592
4724,995.049130312968
4723,995.0710340482094
4722,995.2785692133315
4721,995.3057165239823
4720,995.3057165239823
4719,995.7499858359122
4718,995.7499858359122
4717,995.7639445039988
4716,995.7639445039988
4715,995.7639445039988
4714,995.8465387631759
4713,995.927515888669
4712,995.927515888669
4711,995.927515888669
4710,996.0237361496872
4709,996.0461290838075
4708,996.1397177573286
4707,996.1990402842173
4706,996.5560154916078
4705,996.5560154916078
4704,996.5707794216532
4703,996.5807878567674
4702,996.6188914564611
4701,996.6188914564611
4700,996.8380812991771
4699,996.8494643838138
4698,996.9152564347924
4697,996.9413580386725
4696,997.3471501255284
4695,997.3566036724694
4694,997.4290106293212
4693,997.623203282132
4692,997.623203282132
4691,997.6457484566773
4690,997.667237173589
4689,997.7961674003351
4688,998.0397280591044
4687,998.4952351590515
4686,998.6663054157032
4685,998.6665748776946
4684,998.6665748776946
4683,998.8247645800852
4682,998.8414369902683
4681,998.8531486363181
4680,998.8571795143777
4679,998.8571795143777
4678,998.8571795143777
4677,998.8571795143777
4676,998.8571795143777
4675,998.9924001809934
4674,999.0833565798274
4673,999.2071058329723
4672,999.2071058329723
4671,999.2785084011032
4670,999.2785084011032
4669,999.2785084011032
4668,999.2785084011032
4667,999.3643783549863
4666,999.3654998417574
4665,999.3654998417574
4664,999.7337033650987
4663,999.7415741035132
4662,999.7860960874602
4661,1000.2243265009205
4660,1000.2320210528784
4659,1000.4134792531335
4658,1000.4616699140076
4657,1001.3014723037817
4656,1001.3014723037817
4655,1001.9038959072382
4654,1002.1126835319833
4653,1002.1320912162406
4652,1002.1726223291959
4651,1002.247502343729
4650,1002.4412084306829
4649,1002.4625300356496
4648,1002.5408880732755
4647,1002.5903242618278
4646,1002.5903242618278
4645,1002.5903242618278
4644,1002.5903242618278
4643,1002.6345612975159
4642,1002.6345612975159
4641,1002.6345612975159
4640,1002.6345612975159
4639,1002.732237642253
4638,1002.7444890162327
4637,1002.7444890162327
4636,1002.7719365307942
4635,1002.858586003484
4634,1002.8676913144104
4633,1003.1025706682195
4632,1003.1076005324117
4631,1003.1152787199053
4630,1003.1152787199053
4629,1003.1247306980642
4628,1003.225182140243
4627,1003.2372764232017
4626,1003.7264574241282
4625,1003.8377798485224
4624,1003.9428900480846
4623,1003.9428900480846
4622,1003.9529811819667
4621,1003.9529811819667
4620,1003.9530808305559
4619,1003.9530808305559
4618,1004.0031367127142
4617,1004.3033856600777
4616,1004.4140873725033
4615,1004.4140873725033
4614,1004.6218764418973
4613,1004.6232343236932
4612,1004.7975777498724
4611,1005.0081401657599
4610,1005.1494877066052
4609,1005.1517686079799
4608,1005.2312172575275
4607,1005.7221148955956
4606,1005.7505139021353
4605,1005.8947314076265
4604,1006.0528323035386
4603,1006.1123150127748
4602,1006.1156745323573
4601,1006.1637285470822
4600,1006.1637285470822
4599,1006.2540179097398
4598,1006.2555704659449
4597,1006.290208975097
4596,1006.3726573912622
4595,1006.3778461034435
4594,1006.3953794080526
4593,1006.5321877280472
4592,1006.5481640354988
4591,1006.8462395264614
4590,1006.8555892614306
4589,1007.0018301225631
4588,1007.0018301225631
4587,1007.0810551141695
4586,1007.0841965290934
4585,1008.093316038264
4584,1008.093316038264
4583,1008.1442840002253
4582,1008.1548120526094
4581,1008.1805015694868
