Network,Last Remaining Edges
ER_network_1_paths.csv,2384
ER_network_2_paths.csv,2829
ER_network_3_paths.csv,2044
ER_network_4_paths.csv,2625
ER_network_5_paths.csv,2440
ER_network_6_paths.csv,2319
ER_network_7_paths.csv,2020
ER_network_8_paths.csv,2097
ER_network_9_paths.csv,2975
ER_network_10_paths.csv,2698
