Remaining Edges,Average Shortest Path
4787,1312.572493700666
4786,1312.572493700666
4785,1312.572493700666
4784,1312.6684032135079
4783,1312.7645547449977
4782,1312.767928488118
4781,1312.8772189189951
4780,1312.8772189189951
4779,1312.8772189189951
4778,1313.1189360878564
4777,1313.3508276818075
4776,1313.7168595638275
4775,1313.7482356457547
4774,1313.7482356457547
4773,1314.3898502973884
4772,1314.3898502973884
4771,1314.424835219741
4770,1314.4561535117252
4769,1314.5165311702185
4768,1314.5695145125394
4767,1314.6011813925586
4766,1314.7687824019808
4765,1314.8002701873145
4764,1314.8002701873145
4763,1314.8478202106548
4762,1315.485414304394
4761,1315.7288942011871
4760,1315.9265117797374
4759,1315.9265117797374
4758,1315.986849026221
4757,1316.034224185155
4756,1316.038855238895
4755,1316.038855238895
4754,1316.1319868390865
4753,1316.1575764500408
4752,1316.4891549712934
4751,1316.4891549712934
4750,1316.505060945145
4749,1316.525729062084
4748,1316.594097457293
4747,1316.5952659397003
4746,1316.5952659397003
4745,1316.596979454323
4744,1316.596979454323
4743,1316.596979454323
4742,1316.6006034151221
4741,1316.6006797067391
4740,1316.6006797067391
4739,1316.6006797067391
4738,1316.603179935614
4737,1317.612124005471
4736,1318.1881030098778
4735,1318.2011564574423
4734,1318.2011564574423
4733,1318.4390211666393
4732,1318.4774938821658
4731,1318.4774938821658
4730,1318.4786830722978
4729,1318.479624205686
4728,1318.5075286807178
4727,1318.5448205760679
4726,1318.5634907695871
4725,1318.5805435365505
4724,1318.6436902976748
4723,1318.7997590020364
4722,1318.8942957418085
4721,1318.895512702089
4720,1318.895512702089
4719,1318.895512702089
4718,1319.0866736556757
4717,1319.752304348268
4716,1320.2879191448562
4715,1320.5635777401867
4714,1320.7752828992836
4713,1320.804269330796
4712,1320.804269330796
4711,1320.804269330796
4710,1320.804269330796
4709,1320.8074674753836
4708,1321.111482579519
4707,1321.1474175556557
4706,1321.1775666332328
4705,1321.2248411223516
4704,1321.2603469688902
4703,1321.271978285948
4702,1321.337966279449
4701,1321.337966279449
4700,1321.702665328932
4699,1321.7055281371847
4698,1321.851123002391
4697,1321.8712276750357
4696,1322.3762656014094
4695,1322.4270298806673
4694,1322.4770960649464
4693,1322.97443649177
4692,1322.97443649177
4691,1322.97443649177
4690,1322.9799146113342
4689,1322.9799146113342
4688,1322.9799146113342
