Row Index,Standard Deviation,Sample Size
1,9.127529818949114,9.017752608290555
2,9.161144722824597,9.084296148318431
3,9.062897421017134,8.890494646127928
4,9.042292260536112,8.850114221982052
5,9.043954954281428,8.853369233440564
6,8.956186494751114,8.682365264749752
7,8.982513585837363,8.733484652160364
8,8.9825376643212,8.733531474099205
9,8.973064467247921,8.715120009315765
10,8.969670877034003,8.708529183319488
11,8.93303335407418,8.6375327492023
12,8.877384926926704,8.530252738326087
13,8.773700937324586,8.332157095443076
14,8.747429769921014,8.28233370275435
15,8.705867022412015,8.203814927154946
16,8.744413248088708,8.276622417657583
17,8.751829099719682,8.290666637329982
18,8.739261030706077,8.266872101874766
19,8.794414177929248,8.371545193856646
20,8.796786722763635,8.376062730797019
21,8.84228486149825,8.462930996141985
22,8.89290292561875,8.560101201112802
23,8.98653820173289,8.741312482323236
24,8.963916348185007,8.697358783011552
25,8.976112266490945,8.721041385962494
26,8.938726270220034,8.648545451451026
27,8.925226968433945,8.622443037332117
28,8.944918214929848,8.660531468563747
29,8.884736747435836,8.544387273537733
30,8.870827239824752,8.517654869028652
31,8.68717350701601,8.168621765461472
32,8.692844820585771,8.179290813885787
33,8.666340417981798,8.129489688911175
34,8.649882230382563,8.098641692231181
35,8.58618443409682,7.979803956439119
36,8.807325086961269,8.39614344326124
37,8.744111146560005,8.276050546904811
38,8.483975158460677,7.79095278296475
39,8.500122632248432,7.8206379068602425
40,8.515842750505266,7.849591615382044
41,8.60335521057473,8.01175212569884
42,8.597047804204486,8.00000906701835
43,8.544984794037584,7.903407674472432
44,8.557105883479691,7.925845597642297
45,8.561101491339487,7.933249027019188
46,8.468469525601053,7.7625007286931975
47,8.42999351079428,7.692123998472315
48,8.429185692585786,7.6906498478471
49,8.429199300988367,7.690674680030784
50,8.403866535656167,7.644517675337671
51,8.388841550195556,7.61720736753862
52,8.435713699150554,7.702566551328907
53,8.454805355695182,7.737470808888976
54,8.447287180786168,7.723716312417063
55,8.519216350526856,7.855812168906812
56,8.54652902677341,7.906264508967608
57,8.539508730159794,7.893281103521281
58,8.531068378598029,7.8776855592449975
59,8.571462038648272,7.952462100555424
60,8.586754618052238,7.9808638235531
61,8.587134919233,7.981570772635148
62,8.54278394376013,7.899336988014569
63,8.55841128690656,7.928263988936917
64,8.505714577726955,7.830931162092878
65,8.52315979842512,7.86308658350576
66,8.489208052922045,7.8005666269671785
67,8.4846625833519,7.79221537785578
68,8.473333837019172,7.771420891967569
69,8.747321486131368,8.28212865122423
70,8.802826788684232,8.38756905496294
71,8.639682663174307,8.079553816279711
72,8.669998523032774,8.136354132782017
73,8.694858075631359,8.183079885406405
74,8.6834099502295,8.161545490900089
75,8.82490079727354,8.429687209479363
76,8.80710623062667,8.395726170972626
77,8.942804656438517,8.656439228292285
78,8.925054999031934,8.622110769683765
79,9.05145753786854,8.868064285400338
80,8.932130899528014,8.635787633820657
81,8.95909966135085,8.688014385622653
82,9.019346315679133,8.805254674431593
83,9.102064452845397,8.967504614935395
84,9.133937777276389,9.030418831924845
85,9.175581710958477,9.112950474559385
86,9.203031171533784,9.167556220017387
87,9.16659025303932,9.095099058473446
88,9.428322910914186,9.621896753318595
89,9.435612691321198,9.636781400580551
90,9.312239352247838,9.386421579606354
91,9.32443741988215,9.411028162408785
92,9.303278542591752,9.368365886218688
93,9.289290402250682,9.340215057952179
94,9.273742794872692,9.308975541556478
95,9.224996040835475,9.211368843991236
96,9.141125967832489,9.044637871990705
97,8.950605558104385,8.671548019436544
98,8.956412858594488,8.6828041565502
99,8.908671163170867,8.590484390175652
100,8.621703813968628,8.045962319000576
101,8.603742023233469,8.01247256946355
102,8.7106488324399,8.212829505008132
103,8.779013192211771,8.342249972438655
104,8.810892280491087,8.402946129358682
105,8.84255970120848,8.463457101257843
106,8.951515386649362,8.673311033761287
107,8.953180739153549,8.676538523907464
108,8.91745889458144,8.607440477373272
109,9.007057212849386,8.781276226830718
110,9.005181162791812,8.777618562021356
111,8.996506805210908,8.760716396652052
112,9.019212724133984,8.804993835380808
113,9.06878522897783,8.902050007759827
114,9.086426387506926,8.93671732334631
115,9.103517297230889,8.970367576096672
116,9.099787160109587,8.963017923256485
117,9.067227871110628,8.898992820522963
118,9.252942168492046,9.2672630697779
119,9.282366203820716,9.326295932602347
120,9.265072520730792,9.29157725003956
121,9.236920287137586,9.235197498051075
122,9.193247905538808,9.148075471190616
123,9.162699289668987,9.087379462517031
124,9.141384428776746,9.045149344800851
125,9.188805047404161,9.139235552819626
126,9.177883858172265,9.117523914382193
127,9.35937099084763,9.481676213094557
128,9.387166849234815,9.538078012431036
129,9.381095662196289,9.525744423267437
130,9.393291683807275,9.550528671771314
131,9.409077392345026,9.582655544222341
132,9.406527643072828,9.577462674102746
133,9.467009887920476,9.701021282110812
